"EmpNum","LastName","FirstName","PhoneNumber","Status","Position","Supervisor","Address","SSS","PHILHEALTH","TIN","PAGIBIG","Basic Salary","Rice Subsidy","Phone Allowance","Clothing Allowance","Gross Semi-monthly Rate","Hourly Rate","Withholding Tax","Birthday"
"10001","Garcia, Manuel III, Manuel III, Manuel III","Manuel III","789-654-369","Regular","Chief Executive Officer","N/A","Valero Carpark Building Valero Street 1227, Makati City","44-4506057-3","820-126-853-951","442-605-657-000","456-852-169-36","90000.0","1500.0","2000.0","1000.0","45000.0","535.71","1125.0","10/11/1983"
"10002","Lim, Antonio","Antonio","171-867-411","Regular","Chief Operating Officer","Garcia  Manuel III","San Antonio De Padua 2, Block 1 Lot 8 and 2, Dasmarinas, Cavite","52-2061274-9","331-735-646-338","683-102-776-000","663-904-995-411","60000.0","1500.0","2000.0","1000.0","30000.0","357.14","1125.0","6/19/1988"
"10003","Aquino","Bianca Sofia","966-889-370","Regular","Chief Finance Officer","Garcia  Manuel III","Rm. 402 4/F Jiao Building Timog Avenue Cor. Quezon Avenue 1100, Quezon City","30-8870406-2","177-451-189-665","971-711-280-000","171-519-773-969","60000.0","1500.0","2000.0","1000.0","30000.0","357.14","1125.0","8/4/1989"
"10004","Reyes","Isabella","786-868-477","Regular","Chief Marketing Officer","Garcia  Manuel III","460 Solanda Street Intramuros 1000, Manila","40-2511815-0","341-911-411-254","876-809-437-000","416-946-776-041","60000.0","1500.0","2000.0","1000.0","30000.0","357.14","1125.0","6/16/1994"
"10005","Hernandez, Eduard","Eduard","088-861-012","Regular","IT Operations and Systems","Lim  Antonio","National Highway, Gingoog, Misamis Occidental","50-5577638-1","957-436-191-812","031-702-374-000","952-347-222-457","52670.0","1500.0","1000.0","1000.0","26335.0","313.51","1125.0","9/23/1989"
"10006","Villanueva","Andrea Mae","918-621-603","Regular","HR Manager","Lim  Antonio","17/85 Stracke Via Suite 042, Poblacion, Las Pinas 4783 Dinagat Islands","49-1632020-8","382-189-453-145","317-674-022-000","441-093-369-646","52670.0","1500.0","1000.0","1000.0","26335.0","313.51","1125.0","2/14/1988"
"10007","San Jose","Brad","797-009-261","Regular","HR Team Leader","Villanueva  Andrea Mae","99 Strosin Hills, Poblacion, Bislig 5340 Tawi-Tawi","40-2400714-1","239-192-926-939","672-474-690-000","210-850-209-964","42975.0","1500.0","800.0","800.0","21488.0","255.8","1125.0","3/15/1996"
"10008","Romualdez","Alice","983-606-799","Regular","HR Rank and File","San  Jose Brad","12A/33 Upton Isle Apt. 420, Roxas City 1814 Surigao del Norte","55-4476527-2","545-652-640-232","888-572-294-000","211-385-556-888","22500.0","1500.0","500.0","500.0","11250.0","133.93","1012.5","5/14/1992"
"10009","Atienza","Rosie","266-036-427","Regular","HR Rank and File","San  Jose Brad","90A Dibbert Terrace Apt. 190, San Lorenzo 6056 Davao del Norte","41-0644692-3","708-988-234-853","604-997-793-000","260-107-732-354","22500.0","1500.0","500.0","500.0","11250.0","133.93","1012.5","9/24/1948"
"10010","Alvaro","Roderick","053-381-386","Regular","Accounting Head","Aquino  Bianca Sofia","#284 T. Morato corner, Scout Rallos Street, Quezon City","64-7605054-4","578-114-853-194","525-420-419-000","799-254-095-212","52670.0","1500.0","1000.0","1000.0","26335.0","313.51","1125.0","3/30/1988"
